Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
9219,Compound/Complex,Narrative,40,1039,1039,6930.94,-6930.94
9220,Complex,Narrative,16,266,-266,1555.35,1555.35
9221,Complex,Narrative,35,849,849,5389.99,5389.99
9222,Compound/Complex,Narrative,43,931,931,5873.67,5873.67
9223,Complex,Narrative,34,595,595,3559.71,3559.71
9224,Compound/Complex,Narrative,46,812,-812,4854.56,-4854.56
9225,Compound/Complex,Narrative,52,968,-968,5789.84,5789.84
9226,Simple,Narrative,28,438,-438,2553.83,2553.83
9227,Complex,Narrative,9,168,-168,1076.76,-1076.76
9228,Simple,Narrative,14,288,-288,1766.14,-1766.14
9229,Complex,Narrative,16,276,-276,1669.68,1669.68
9230,Compound/Complex,Narrative,22,436,-436,2762.69,-2762.69
9231,Complex,Narrative,22,412,-412,2556.37,-2556.37
9232,Simple,Narrative,17,392,-392,2396.48,-2396.48
9233,Compound/Complex,Narrative,33,631,631,3937.29,3937.29
9234,Compound/Complex,Narrative,29,545,545,3440.57,-3440.57
9235,Compound/Complex,Narrative,27,558,-558,3535.09,3535.09
9236,Compound/Complex,Narrative,57,1083,1083,6552.11,-6552.11
9237,Compound/Complex,Narrative,35,684,-684,4249.94,4249.94
9238,Compound/Complex,Narrative,65,1236,-1236,7256.34,-7256.34
9239,Complex,Narrative,15,248,-248,1477.67,1477.67
9240,Compound/Complex,Narrative,20,464,-464,2908.33,-2908.33
9244,Simple,Narrative,1,16,-16,110.54,-110.54
9245,Complex,Narrative,16,276,-276,1675.77,1675.77
9246,Compound/Complex,Narrative,25,432,-432,2591.25,2591.25
9247,Compound/Complex,Narrative,38,733,733,4178.68,-4178.68
9248,Compound/Complex,Narrative,36,666,-666,3758.16,-3758.16
9249,Compound/Complex,Narrative,22,425,425,2652.36,-2652.36
9252,Simple,Narrative,3,36,-36,226.63,-226.63
9255,Simple,Narrative,13,261,261,1506.03,-1506.03
9256,Complex,Narrative,22,322,-322,1882.54,-1882.54
9257,Compound/Complex,Narrative,13,243,243,1281.26,1281.26
9260,Simple,Narrative,4,83,83,563.50,563.50
9261,Compound/Complex,Narrative,66,1162,-1162,6840.90,-6840.90
9263,Compound/Complex,Narrative,34,665,665,4062.53,-4062.53
9264,Compound/Complex,Narrative,19,394,-394,2419.84,2419.84
9265,Compound/Complex,Narrative,54,1055,1055,6726.79,-6726.79
9266,Complex,Narrative,23,456,-456,2714.88,-2714.88
9267,Compound/Complex,Narrative,26,499,499,2827.49,2827.49
9269,Compound/Complex,Narrative,35,715,715,4445.29,4445.29
9270,Compound/Complex,Narrative,18,355,355,2188.22,-2188.22
9272,Complex,Narrative,28,457,457,2800.53,-2800.53
9273,Compound/Complex,Narrative,32,461,461,2598.40,-2598.40
9275,Compound/Complex,Narrative,29,434,-434,2688.35,-2688.35
9276,Complex,Narrative,9,187,187,1188.37,-1188.37
9277,Complex,Narrative,22,497,497,3152.90,-3152.90
9279,Compound/Complex,Narrative,42,759,759,4250.65,-4250.65
9280,Compound/Complex,Narrative,41,858,-858,5188.67,-5188.67
9281,Complex,Narrative,35,649,649,3921.93,3921.93
9282,Complex,Narrative,23,505,505,3214.86,-3214.86
9283,Complex,Narrative,16,314,-314,1884.87,-1884.87
9284,Complex,Narrative,18,351,351,2169.52,2169.52
9285,Compound/Complex,Narrative,49,826,-826,4851.60,4851.60
9286,Simple,Narrative,25,503,503,3089.19,3089.19
9287,Compound/Complex,Narrative,35,650,-650,3965.96,3965.96
9288,Compound/Complex,Conversation,45,915,915,5703.44,5703.44
9289,Compound/Complex,Narrative,33,594,-594,3374.09,-3374.09
9290,Compound/Complex,Narrative,34,536,-536,3067.20,3067.20
9291,Compound/Complex,Narrative,75,1457,1457,9106.93,-9106.93
9292,Simple,Narrative,5,145,145,1001.77,1001.77
9293,Compound/Complex,Narrative,28,580,-580,3516.76,-3516.76
9294,Compound/Complex,Narrative,34,732,-732,4810.15,-4810.15
9295,Compound/Complex,Narrative,25,525,525,3273.92,3273.92
9296,Compound/Complex,Narrative,13,376,-376,2538.31,-2538.31
9297,Complex,Narrative,8,193,193,1304.41,-1304.41
9298,Complex,Narrative,41,923,923,5695.84,5695.84
9299,Compound/Complex,Narrative,64,1290,-1290,7526.69,-7526.69
9300,Compound/Complex,Narrative,12,209,209,1245.80,1245.80
9301,Compound/Complex,Narrative,58,1052,-1052,6637.91,6637.91
9303,Complex,Narrative,17,330,-330,1972.14,-1972.14
9304,Complex,Narrative,38,653,653,3954.18,-3954.18
