Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
4922,golden,ADJ,31,31,214.17,-214.17
4992,empty,ADJ,24,-24,165.81,165.81
4994,thy,ADJ,5,5,34.54,-34.54
5003,thy,ADJ,5,5,34.54,-34.54
5016,thee,ADJ,7,7,48.36,-48.36
5029,forbidden,ADJ,52,-52,359.26,359.26
5030,thy,ADJ,5,5,34.54,-34.54
5033,small,ADJ,28,-28,193.45,193.45
5037,thy,ADJ,5,5,34.54,-34.54
5041,thy,ADJ,5,5,34.54,-34.54
5042,great,ADJ,21,21,145.08,145.08
5070,thy,ADJ,5,5,34.54,-34.54
5075,thy,ADJ,5,5,34.54,-34.54
5078,other,ADJ,14,-14,96.72,-96.72
5120,immortal,ADJ,40,-40,276.35,-276.35
5122,thy,ADJ,5,5,34.54,-34.54
5134,ready,ADJ,14,-14,96.72,-96.72
5139,ready.,ADJ,14,-14,96.72,-96.72
5141,great,ADJ,21,21,145.08,145.08
5147,old,ADJ,16,-16,110.54,-110.54
5153,new,ADJ,13,13,89.81,89.81
5160,first,ADJ,24,-24,165.81,165.81
5174,soft,ADJ,18,-18,124.36,-124.36
5178,hard,ADJ,17,17,117.45,117.45
5182,Visible,ADJ,48,-48,331.62,331.62
5184,invisible,ADJ,54,-54,373.07,373.07
5187,small,ADJ,28,-28,193.45,193.45
5232,own,ADJ,15,15,103.63,103.63
5237,terrible,ADJ,38,-38,262.53,-262.53
5239,bad,ADJ,22,-22,151.99,151.99
5242,terrible,ADJ,38,-38,262.53,-262.53
5244,bad,ADJ,22,-22,151.99,151.99
5276,bright,ADJ,40,-40,276.35,-276.35
5289,immortal,ADJ,40,-40,276.35,-276.35
5300,fit,ADJ,16,-16,110.54,-110.54
5441,great,ADJ,21,21,145.08,145.08
5484,allotted,ADJ,28,-28,193.45,193.45
5523,separate,ADJ,28,-28,193.45,193.45
5530,own,ADJ,15,15,103.63,103.63
5544,own,ADJ,15,15,103.63,103.63
5601,own,ADJ,15,15,103.63,103.63
5628,joint,ADJ,27,27,186.54,-186.54
5631,good,ADJ,24,-24,165.81,165.81
5699,own,ADJ,15,15,103.63,103.63
5758,empty,ADJ,24,-24,165.81,165.81
5832,brilliant,ADJ,46,-46,317.80,317.80
5847,old,ADJ,16,-16,110.54,-110.54
5849,old,ADJ,16,-16,110.54,-110.54
5867,new,ADJ,13,13,89.81,89.81
5871,hot,ADJ,8,-8,55.27,55.27
5887,old,ADJ,16,-16,110.54,-110.54
5891,new,ADJ,13,13,89.81,89.81
5919,hard,ADJ,17,17,117.45,117.45
5948,big,ADJ,30,-30,207.26,207.26
5960,later,ADJ,16,-16,110.54,-110.54
6041,own,ADJ,15,15,103.63,103.63
6065,low,ADJ,20,-20,138.18,-138.18
6075,ready,ADJ,14,-14,96.72,-96.72
6085,narrow‐headed,ADJ,47,47,324.71,-324.71
6089,ready,ADJ,14,-14,96.72,-96.72
6123,ready,ADJ,14,-14,96.72,-96.72
6132,ready,ADJ,14,-14,96.72,-96.72
6138,first,ADJ,24,-24,165.81,165.81
6151,powerful,ADJ,55,55,379.98,379.98
6208,dead,ADJ,15,15,103.63,103.63
6223,first,ADJ,24,-24,165.81,165.81
6233,deep,ADJ,21,21,145.08,145.08
6254,long,ADJ,24,-24,165.81,165.81
6285,solid,ADJ,23,23,158.90,-158.90
6290,first,ADJ,24,-24,165.81,165.81
6296,two‐fold,ADJ,41,41,283.26,283.26
6308,unite,ADJ,13,13,89.81,89.81
6321,huge,ADJ,22,-22,151.99,151.99
6329,dumb,ADJ,34,-34,234.90,-234.90
6352,crooked,ADJ,42,-42,290.17,-290.17
6353,red‐hair‐covered,ADJ,66,-66,455.98,455.98
