Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
196870,behind,ADP,31,31,214.17,-214.17
196877,of,ADP,14,-14,22.53,-22.53
196891,of,ADP,14,-14,22.53,-22.53
196907,of,ADP,14,-14,22.53,-22.53
196914,in,ADP,6,-6,12.48,-12.48
196931,with,ADP,19,19,52.68,-52.68
196937,by,ADP,14,-14,96.72,-96.72
196940,on,ADP,5,5,13.54,13.54
196943,By,ADP,14,-14,96.72,-96.72
196965,into,ADP,10,-10,69.09,69.09
196971,in,ADP,6,-6,12.48,-12.48
196978,if,ADP,15,15,103.63,103.63
196982,on,ADP,5,5,13.54,13.54
196987,before,ADP,35,35,241.81,241.81
196989,on,ADP,5,5,13.54,13.54
196996,at,ADP,3,3,9.13,9.13
197002,between,ADP,30,-30,207.26,207.26
197016,that,ADP,8,-8,17.58,17.58
197030,of,ADP,14,-14,22.53,-22.53
197041,out,ADP,9,9,62.18,-62.18
197042,of,ADP,14,-14,22.53,-22.53
197051,on,ADP,5,5,13.54,13.54
197060,over,ADP,24,-24,165.81,165.81
197061,like,ADP,28,-28,193.45,193.45
197068,into,ADP,10,-10,69.09,69.09
197074,with,ADP,19,19,52.68,-52.68
197079,of,ADP,14,-14,22.53,-22.53
197084,that,ADP,8,-8,17.58,17.58
197085,of,ADP,14,-14,22.53,-22.53
197090,of,ADP,14,-14,22.53,-22.53
197095,in,ADP,6,-6,12.48,-12.48
197097,with,ADP,19,19,52.68,-52.68
197107,as,ADP,5,5,14.45,-14.45
197112,on,ADP,5,5,13.54,13.54
197116,with,ADP,19,19,52.68,-52.68
197128,than,ADP,9,9,62.18,-62.18
197131,on,ADP,5,5,13.54,13.54
197148,into,ADP,10,-10,69.09,69.09
197157,of,ADP,14,-14,22.53,-22.53
197161,of,ADP,14,-14,22.53,-22.53
197165,as,ADP,5,5,14.45,-14.45
197176,of,ADP,14,-14,22.53,-22.53
197179,of,ADP,14,-14,22.53,-22.53
197188,of,ADP,14,-14,22.53,-22.53
197191,of,ADP,14,-14,22.53,-22.53
197196,of,ADP,14,-14,22.53,-22.53
197204,of,ADP,14,-14,22.53,-22.53
197207,As,ADP,5,5,14.45,-14.45
197215,in,ADP,6,-6,12.48,-12.48
197220,in,ADP,6,-6,12.48,-12.48
197237,in,ADP,6,-6,12.48,-12.48
197252,from,ADP,28,-28,193.45,193.45
197267,of,ADP,14,-14,22.53,-22.53
197272,in,ADP,6,-6,12.48,-12.48
197278,of,ADP,14,-14,22.53,-22.53
197282,on,ADP,5,5,13.54,13.54
197284,without,ADP,28,-28,193.45,193.45
197309,With,ADP,19,19,52.68,-52.68
197317,on,ADP,5,5,13.54,13.54
197331,in,ADP,6,-6,12.48,-12.48
197363,with,ADP,19,19,52.68,-52.68
